Ruminococcus,16,01/02/2019
Coprococcus,56,01/02/2019
Lachnospiraceae,27,01/02/2019
S24-7,4,01/02/2019
S24-7,23,01/02/2019
Ruminococcaceae,87,01/02/2019
S24-7,44,01/02/2019
S24-7,48,01/02/2019
S24-7,50,01/02/2019
Lachnospiraceae,6,01/02/2019
Ruminococcaceae,25,01/02/2019
S24-7,120,01/02/2019
S24-7,38,01/02/2019
Enterobacteraceae,137,01/02/2019
S24-7,25,01/02/2019
S24-7,87,08/02/2019
S24-7,31,08/02/2019
RF32,39,08/02/2019
Clostridiales,24,08/02/2019
S24-7,54,08/02/2019
Helicobacter,35,08/02/2019
S24-7,64,08/02/2019
S24-7,15,08/02/2019
S24-7,2,08/02/2019
Lachnospiraceae,25,08/02/2019
Clostridiales,16,08/02/2019
Clostridiales,43,08/02/2019
Clostridiales,1,08/02/2019
Clostridiales,3,08/02/2019
Ruminococcus,83,08/02/2019
Ruminococcus,50,15/02/2019
Coprococcus,74,15/02/2019
Lachnospiraceae,19,15/02/2019
S24-7,49,15/02/2019
S24-7,1,15/02/2019
Ruminococcaceae,12,15/02/2019
S24-7,29,15/02/2019
S24-7,68,15/02/2019
S24-7,51,15/02/2019
Lachnospiraceae,16,15/02/2019
Ruminococcaceae,19,15/02/2019
S24-7,36,15/02/2019
S24-7,10,15/02/2019
Enterobacteraceae,60,15/02/2019
S24-7,95,15/02/2019
S24-7,2,22/02/2019
S24-7,13,22/02/2019
RF32,4,22/02/2019
Clostridiales,56,22/02/2019
S24-7,48,22/02/2019
Helicobacter,45,22/02/2019
S24-7,10,22/02/2019
S24-7,6,22/02/2019
S24-7,19,22/02/2019
Lachnospiraceae,46,22/02/2019
Clostridiales,43,22/02/2019
Clostridiales,108,22/02/2019
Clostridiales,111,22/02/2019
Clostridiales,35,22/02/2019
Ruminococcus,57,22/02/2019
Ruminococcus,7,01/03/2019
Coprococcus,29,01/03/2019
Lachnospiraceae,80,01/03/2019
S24-7,85,01/03/2019
S24-7,57,01/03/2019
Ruminococcaceae,45,01/03/2019
S24-7,83,01/03/2019
S24-7,5,01/03/2019
S24-7,18,01/03/2019
Lachnospiraceae,22,01/03/2019
Ruminococcaceae,12,01/03/2019
S24-7,32,01/03/2019
S24-7,131,01/03/2019
Enterobacteraceae,2,01/03/2019
S24-7,83,01/03/2019
S24-7,83,08/03/2019
S24-7,91,08/03/2019
RF32,88,08/03/2019
Clostridiales,65,08/03/2019
S24-7,47,08/03/2019
Helicobacter,16,08/03/2019
S24-7,12,08/03/2019
S24-7,19,08/03/2019
S24-7,14,08/03/2019
Lachnospiraceae,46,08/03/2019
Clostridiales,7,08/03/2019
Clostridiales,12,08/03/2019
Clostridiales,37,08/03/2019
Clostridiales,143,08/03/2019
Ruminococcus,120,08/03/2019
